author|title|content
Redacción MARCA|"Álvaro Benito lo tiene claro: ""No ayuda a nadie que ahora se cambie al entrenador del Real Madrid"""|Álvaro Benito, comentarista de la Cadena SER y hasta hace unos días entrenador del Juvenil B del Real Madrid, analizó en Carrusel Deportivo la llegada de Zidane al Real Madrid y las decisiones que se están tomando en el conjunto blanco después de la eliminaci… [+1649 chars]
marca.com|"Umtiti: ""Lo más fácil hubiera sido operarme"""|"Samuel Umtiti concedió una entrevista a L'Equipe en la que explicó lo que ha vivido en los últimos meses con esa lesión de rodilla que le ha tenido mucho tiempo parado y de la que ahora parece ya recuperado.  ""En el Mundial ya tuve molestias, pero apreté los … [+844 chars]"
J. I. García-Ochoa, Adapted by Conor Clancy|Zidane's arrival means bad news for Bale|Gareth Bale and Zinedine Zidane  Angel RiveroMARCA  When Gareth Bale discovered that Zinedine Zidane was returning to his job as Real Madrid coach, a chill will have run through his body.  The pair aren't exactly the best of friends and although they maintain… [+1722 chars]
Miguel Ángel Lara y José Luis Calderón|How will Zidane's arrival affect the Real Madrid squad? Each player analysed|The return of Zinedine Zidane as coach of Real Madrid will like shake up the established order among the players. The debate over Keylor Navas and Thibaut Courtois will be reopened, as will those who were discarded by Santiago Solari - Marcelo and Isco. Meanw… [+4712 chars]
marca.com|"""Zidane's loyalty to Real Madrid is the same as Real Madrid's to Zidane, whatever happens..."""|"Zinedine Zidane in his presentation as Real Madrid head coach  AFP  ""I will never whistle Zinedine Zidane. I will never whistle Zinedine Zidane. I will never whistle Zinedine Zidane."" If I was a Real Madrid fan, I would repeat this phrase as a mantra before e… [+2304 chars]"
Marca Básket|Los Lakers recuperan a la última Cenicienta de la NBA: Andre Ingram|Andre Ingram en su único partido con los Lakers   El curso baloncestístico 2017-2018 terminaba para los Lakers con una nueva decepción al quedarse fuera de 'playoffs' por cuarta temporada consecutiva. Sin embargo, en los estertores de la temporada la franquic… [+1522 chars]
marca.com|El posado 'fake' de Megan Fox junto a Cristiano Ronaldo|Megan Fox y Cristiano Ronaldo protagonizaron en 2011 una campaña publicitaria de Armani en la que ambos aparecían en ropa interior en una imagen en blanco y negro que revolucionó las redes sociales por los espectaculares cuerpos de sus protagonistas.   Ahora,… [+701 chars]
J. I. García-Ochoa|Zidane, la peor noticia para Bale|Bale y Zidane, durante un partido de la pasada temporada.  Ángel RiveroMARCA  Cuando Gareth Bale se enteró de que Zinedine Zidane era el elegido para sustituir a Santi Solari y encabezar el nuevo proyecto deportivo del club blanco, un escalofrío recorrió su c… [+2769 chars]
Miguel Ángel Lara y José Luis Calderón|¿Cómo afecta la llegada de Zidane a cada jugador? Uno a uno de la plantilla del Madrid|None
marca.com|Mido, el futbolista que 'se comió a Mido', vuelve a mutar y pierde más de 50 kilos|La increíble pérdida de peso del futbolista Mido  Instagram (@ahmedhossammido)  Ahmed Hossam, más conocido como Mido en el mundo del fútbol, ha protagonizado una de las mayores transformaciones físicas que ha vivido el fútbol en los últimos años.  El delanter… [+677 chars]
Redacción Marca|El Lyon reconoce que intentó fichar a Benzema el pasado verano|Benzema celebra un gol durante su etapa en el Lyon.  AFP  La temporada pasada, Karim Benzema estuvo cerca de regresar al club que le catapultó hacia lo más alto y desde que el hizo las maletas rumbo a la capital de España hace ya 10 años. Así lo ha reconocido… [+813 chars]
Marca Valencia|El Valencia ofrece 12 millones por Coates, según Récord|Coates, ante Víctor Ruiz, del Villarreal en la anterior eliminatoria de Europa League.  Carlos CostaAFP  La fe en el gol de Ferrran Torres: un sprint tras 12 kilómetros recorridos  El Valencia sigue moviéndose en el mercado antes de que llegue el verano y seg… [+1323 chars]
Marca Básket|"La rodilla de Luka Doncic hace temblar a los Mavs: ""Esperamos que no sea serio"""|Luka Doncic es duda para el próximo compromiso de los Dallas Mavericks  AFP  Pese a rozar el triple-doble con una soberbia actuación de 19 puntos, 15 rebotes y nueve asistencias, Luka Doncic acabó con problemas físicos en la ajustada derrota de sus Dallas Mav… [+2083 chars]
Cristian Serrano|Mantovani, a punto|Firmaría hasta final de temporada  El Huesca está a punto de cerrar la llegada del ansiado central que complete la plantilla. Tras la lesión de larga duración de Pablo Insua, segunda de estas características en la plantilla, el club ha vuelto a tener que move… [+1948 chars]
Alejandro Segura, Adapted by Conor Clancy|Manu Garcia: If Lyon are on their game they can be explosive|Manu Garcia  AFP  Manu Garcia is one of those young players who loves the ball. He sees and studies all kinds of football and thrives outside of his comfort zone, seeing it as something that needs to be done to grow as a footballer.  At 21, he has already sig… [+2518 chars]
marca.com|Messi's sporting gesture: He asked the referee to not consult VAR|Lionel Messi   Barcelona forward Lionel Messi is not synonymous with such acts as diving or attempting to deceive the referee, and last weekend's match against Rayo Vallecano he was seen asking the referee to not consult VAR.  Although the Catalan side could … [+831 chars]
Ramiro Aldunate, Adapted by Conor Clancy|Goals won't be Barcelona's problem in reaching the quarter-finals|AFP  If one thing is clear for Barcelona it's that they need to score against Lyon if they want to make it to the quarter-finals of this season's Champions League after their 0-0 in the first leg.  The Catalans are obliged to score at the Camp Nou and an away… [+989 chars]
marca.com|Zidane returns to Real Madrid but what happened to Florentino Perez's other coaches?|Santiago Solari's dismissal as Real Madrid boss has added another name to the list of coaches Florentino Perez has been through.  A number have come and gone at the Estadio Santiago Bernabeu and we have taken a look at where they are now.  When Florentino won… [+3446 chars]
Alberto Fdez.|Machín recurre a su esencia|Machín da órdenes a sus jugadores en el partido contra la Real.  EFE  Este jueves, ante el Slavia, Machín se sigue jugando su crédito  Los 25 minutos jugados por el Sevilla en la segunda parte ante la Real Sociedad han sorprendido incluso a los propios profes… [+4710 chars]
marca.com|What has changed at Real Madrid for Zidane to return?|Zinedine Zidane watching Florentino Perez  EFE  What could have changed at Real Madrid for Zinedine Zidane to leave on May 31 but return on March 11 when the same person who asked him to stay at the time came knocking again.  He needed a break and now, with h… [+1835 chars]
marca.com|"Encuentran un caimán gigante de más de 300 kilos: ""La foto es real"""|Un caimán de 317 kilos y casi 4 metros de longitud ha sido encontrado en el lado Blackshear en Georgia, Estados Unidos. Muchos usuarios en redes sociales como Twitter y Facebook dudaron de la veracidad de la imagen pero el biólogo Brent Howze ha confirmado al… [+519 chars]
Jesús Sánchez|"""Zidane, un arma de ilusión masiva"""|Zinedine Zidane, en la rueda de prensa de su presentación.  Ángel Rivero  A Florentino Pérez hay que reconocerle una personalidad compleja en las últimas horas. Se le han observado tics de Mariano Rajoy, porque sólo le faltó el plasma para eludir las pregunta… [+2698 chars]
Marca Básket|Magic Johnson ignoró a Luke Walton en la confección de los nuevos Lakers|Magic Johnson durante el pasado All Star de la NBA en Charlotte  EFE  El primer año de la era de LeBron James en Los Ángeles Lakers ha supuesto un auténtico fiasco cuando todavía queda un mes para que termine la temporada regular. Aunque su fracaso no es mate… [+2207 chars]
Radio MARCA|"Toni Grande: ""A Zidane no le va a temblar la mano"""|Jubilado, pasando los días en Marbella y muy pendiente del mundo del fútbol, del que, aunque la cabeza se lo recomiende, el corazón no le deja despegarse. Así le va la vida a Toni Grande, quien fuera segundo entrenador en el Real Madrid nada menos que con Cap… [+1756 chars]
marca.com|"Soraya Arnelas estuvo a punto de morir: ""Gracias a mi madre pude salvarme"""|Soraya Arnelas ha querido sincerarse con sus seguidores en Instagram, donde ha contado uno de los peores momentos de su vida.   La cantante ha publicado una imagen en 'Instagram Stories' en la que muestra un expediente médico de cuando era una niña que encont… [+1883 chars]
Miguel Á. Morán|Jesé Rodríguez: presente y... ¿futuro en el Betis?|Jesé, en el entrenamiento de ayer  Ramón NavarroMARCA  Volver a ganarle al Barça, un reto para Bartra y el Betis  Jesé Rodríguez es feliz en el Betis y en el club verdiblanco están realmente satisfechos con la implicación, evolución y rendimiento que el delan… [+3096 chars]
Marca Básket|"""Os voy a joder a ti y a tu mujer""; el incidente racial que hizo saltar a Westbrook a la grada"|"""Te voy a joder""; el incidente racial que llevó a Westbrook a saltar contra un fan de los Jazz   La victoria de los Thunder en Utah (89-98) que supone que la barrida del equipo de Oklahoma a los Jazz quedó en un segundo plano después del incidente protagoniza… [+3633 chars]"
Joan Solsona|Zverev cede con su compatriota Struff y lo paga con la raqueta|Zverev tira la raqueta al suelo  EFE  Alexander Zverev, número tres mundial y que venía de perder la final de Acapulco con Nick Kyrgios, lo tiene claro: ante la duda la culpa siempre es de la raqueta. El alemán volvió a mostrar su mal perder la noche del lune… [+802 chars]
Alberto Rubio|Ihattaren, el niño prodigio del PSV al que el Barcelona no quita ojo|Ihattaren firma su nuevo contrato junto a John de Jong, director de fútbol del PSV.  PSV.nl  Eindhoven es la 'Ciudad de la Luz'. De la luz de la Philips. Allí, en el Philips Stadion, cerca del 'cuartel general' de una de las empresas tecnológicas más importan… [+5927 chars]
David G. Medina|Simeone conoce el camino|Simeone, en el Juventus Stadium  José A. García  El 16 de febrero de 2012 arrancaba la era Simeone en Europa. Una visita a Roma, otra vez Italia, valía para debutar en la Europa League a un técnico que empezaba, sin nadie imaginarlo, la mejor etapa de la hist… [+1459 chars]
Joan Solsona|Ramos cae ante Monfils y Nadal se queda solo en Indian Wells|Ramos llega forzado a una pelota  AFP  El tenis masculino español empezó Indian Wells, primer Masters 1.000 de la temporada, con siete efectivos, que fueron seis con la baja a última hora de Pablo Carreño. Pasados cinco días de competición, Rafael Nadal se ha… [+787 chars]
marca.com|Una ballena se zampa a un buzo y luego lo escupe vivo|El buceador Rainer Schimpf estaba intentando documentar a los tiburones y delfines que rondaban un enorme banco de sardinas en Port Elizabeth (Sudáfrica) cuando una enorme ballena lo succionó tal Jonás.  La ballena atrapó entre sus fauces al aterrorizado Schi… [+587 chars]
